srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,constructionType,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,travelRestriction,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,permitDocument,permitID,imageUrl,imageName/Description
84,ConstructionWorkZone-bddb10f7-3916-49d2-98df-ff1fabf4026d,603d1d9a8b7430fa8289c9e4,contractor@navjoyinc.com,2021-03-01T17:15:13.497Z,contractor@navjoyinc.com,2021-03-01T17:15:13.497Z,,,,,,,,,,,,,,,,
85,ConstructionWorkZone-f83e1171-d7d5-459c-ac05-d5f2703fdc3f,603d1d9a8b7430fa8289c9e9,contractor@navjoyinc.com,2021-03-01T17:05:11.453Z,contractor@navjoyinc.com,2021-03-01T17:05:11.453Z,,,,,,,,,,,,,,,,
86,ConstructionWorkZone-86539ba0-4388-489e-a287-b1015382155b,603d1ec78b7430fa8289d318,contractor@navjoyinc.com,2021-03-01T17:25:05.743Z,contractor@navjoyinc.com,2021-03-01T17:25:05.743Z,,,,,,,,,,,,,,,,
87,ConstructionWorkZone-10b344a5-9346-433d-a6a7-da89c720633d,603d1ff48b7430fa828a27a6,contractor@navjoyinc.com,2021-03-01T17:10:12.344Z,contractor@navjoyinc.com,2021-03-01T17:10:12.344Z,,,,,,,,,,,,,,,,
88,ConstructionWorkZone-db303009-b96d-4b94-ad22-751862312054,603d21218b7430fa828a4571,contractor@navjoyinc.com,2021-03-01T19:15:11.333Z,contractor@navjoyinc.com,2021-03-01T19:15:11.333Z,,,,,,,,,,,,,,,,
89,ConstructionWorkZone-254959ea-5f00-47ab-b950-7da0bf9f8b41,603d21218b7430fa828a4621,contractor@navjoyinc.com,2021-03-01T17:30:07.163Z,contractor@navjoyinc.com,2021-03-01T17:30:07.163Z,,,,,,,,,,,,,,,,
90,ConstructionWorkZone-90e02146-8af7-4fc5-8808-e8b422b975f7,603d224e8b7430fa828a5496,contractor@navjoyinc.com,2021-03-02T03:50:09.078Z,contractor@navjoyinc.com,2021-03-02T03:50:09.078Z,,,,,,,,,,,,,,,,
91,ConstructionWorkZone-7120ffde-367e-48b7-b65a-e14b0bcf291c,603d224e8b7430fa828a54a3,contractor@navjoyinc.com,2021-03-01T17:35:08.200Z,contractor@navjoyinc.com,2021-03-01T17:35:08.200Z,,,,,,,,,,,,,,,,
92,ConstructionWorkZone-a70a0849-29da-4ee1-844f-29a2465faf53,603d249f8b7430fa828a6e17,contractor@navjoyinc.com,2021-03-01T20:10:14.502Z,contractor@navjoyinc.com,2021-03-01T20:10:14.502Z,,,,,,,,,,,,,,,,
93,ConstructionWorkZone-4992eb5d-113c-4f88-8292-fc34e01f718d,603d249f8b7430fa828a6e63,contractor@navjoyinc.com,2021-03-01T17:50:11.706Z,contractor@navjoyinc.com,2021-03-01T17:50:11.706Z,,,,,,,,,,,,,,,,
94,ConstructionWorkZone-1d2bf413-9303-46b8-a130-37c60baf21a1,603d25cc8b7430fa828a79fe,contractor@navjoyinc.com,2021-03-01T17:45:10.355Z,contractor@navjoyinc.com,2021-03-01T17:45:10.355Z,,,,,,,,,,,,,,,,
95,ConstructionWorkZone-6e63a3af-a6c7-4ced-af6f-64891baed63a,603d26f98b7430fa828aa199,contractor@navjoyinc.com,2021-03-01T17:55:12.820Z,contractor@navjoyinc.com,2021-03-01T17:55:12.820Z,,,,,,,,,,,,,,,,
96,ConstructionWorkZone-f7455631-5cad-4fb1-95ed-fc6a1533f997,603d29538b7430fa828ae1ff,contractor@navjoyinc.com,2021-03-01T18:10:06.422Z,contractor@navjoyinc.com,2021-03-01T18:10:06.422Z,,,,,,,,,,,,,,,,
97,ConstructionWorkZone-cead80be-33ee-4afe-bc4b-8f1a8e223b2d,603d2a808b7430fa828aef6f,contractor@navjoyinc.com,2021-03-01T19:00:08.343Z,contractor@navjoyinc.com,2021-03-01T19:00:08.343Z,,,,,,,,,,,,,,,,
98,ConstructionWorkZone-9352955f-7b93-4f73-b0e8-79ee55a3e861,603d2a808b7430fa828aefc7,contractor@navjoyinc.com,2021-03-01T18:30:10.825Z,contractor@navjoyinc.com,2021-03-01T18:30:10.825Z,,,,,,,,,,,,,,,,
99,ConstructionWorkZone-e3c5dff7-d102-4cea-9607-6c13bf050a73,603d2bad8b7430fa828af9f6,contractor@navjoyinc.com,2021-03-01T19:20:12.519Z,contractor@navjoyinc.com,2021-03-01T19:20:12.519Z,,,,,,,,,,,,,,,,
100,ConstructionWorkZone-157e9c3f-5379-4a11-932a-382ef7706df6,603d2dfe8b7430fa828b167f,contractor@navjoyinc.com,2021-03-02T05:30:12.860Z,contractor@navjoyinc.com,2021-03-02T05:30:12.860Z,,,,,,,,,,,,,,,,
101,ConstructionWorkZone-309ee2f9-c923-44e6-8526-ce6eb3288145,603d2f2b8b7430fa828b2ab1,contractor@navjoyinc.com,2021-03-01T21:35:14.139Z,contractor@navjoyinc.com,2021-03-01T21:35:14.139Z,,,,,,,,,,,,,,,,
102,ConstructionWorkZone-6e714f2a-c3c7-45a6-825e-d2664ef23169,603d39b88b7430fa828b98f5,contractor@navjoyinc.com,2021-03-01T21:45:06.576Z,contractor@navjoyinc.com,2021-03-01T21:45:06.576Z,,,,,,,,,,,,,,,,
103,ConstructionWorkZone-53da8a5b-c38d-4be1-8719-f26bbe5267a2,603d3ae58b7430fa828bafd7,contractor@navjoyinc.com,2021-03-01T20:10:14.502Z,contractor@navjoyinc.com,2021-03-01T20:10:14.502Z,,,,,,,,,,,,,,,,
104,ConstructionWorkZone-527f531d-bd53-4b5e-9bf0-213a2181b6dd,603d3c128b7430fa828bb97e,contractor@navjoyinc.com,2021-03-02T06:25:06.356Z,contractor@navjoyinc.com,2021-03-02T06:25:06.356Z,,,,,,,,,,,,,,,,
105,ConstructionWorkZone-19806a20-f818-435c-91f3-769e6b424e46,603d3d3f8b7430fa828bbfb2,contractor@navjoyinc.com,2021-03-01T22:55:12.829Z,contractor@navjoyinc.com,2021-03-01T22:55:12.829Z,,,,,,,,,,,,,,,,
106,ConstructionWorkZone-8bc0c862-6f45-405d-80f1-4f9cd1d0ad7e,603d3f998b7430fa828bcdf9,contractor@navjoyinc.com,2021-03-01T19:35:06.098Z,contractor@navjoyinc.com,2021-03-01T19:35:06.098Z,,,,,,,,,,,,,,,,
107,ConstructionWorkZone-95c60de4-cade-4b96-b587-979fd547f6c1,603d43178b7430fa828be15c,contractor@navjoyinc.com,2021-03-01T19:40:07.309Z,contractor@navjoyinc.com,2021-03-01T19:40:07.309Z,,,,,,,,,,,,,,,,
108,ConstructionWorkZone-605d91c7-a2e5-4f81-ac24-c8c6dd2de81a,603d44448b7430fa828be7f2,contractor@navjoyinc.com,2021-03-02T01:40:09.869Z,contractor@navjoyinc.com,2021-03-02T01:40:09.869Z,,,,,,,,,,,,,,,,
109,ConstructionWorkZone-187d519d-1027-423e-a918-fe5ac0a54718,603d44448b7430fa828be809,contractor@navjoyinc.com,2021-03-01T19:45:08.396Z,contractor@navjoyinc.com,2021-03-01T19:45:08.396Z,,,,,,,,,,,,,,,,
110,ConstructionWorkZone-de74bb6f-f0e1-4196-9130-5f217a089add,603d45718b7430fa828bee66,contractor@navjoyinc.com,2021-03-02T00:25:13.082Z,contractor@navjoyinc.com,2021-03-02T00:25:13.082Z,,,,,,,,,,,,,,,,
111,ConstructionWorkZone-0916f5a0-652d-468b-914f-d037697b9919,603d45718b7430fa828beef0,contractor@navjoyinc.com,2021-03-01T20:05:13.796Z,contractor@navjoyinc.com,2021-03-01T20:05:13.796Z,,,,,,,,,,,,,,,,
112,ConstructionWorkZone-eb803285-673e-4898-ba5e-a59000d5495d,603d469e8b7430fa828bf522,contractor@navjoyinc.com,2021-03-01T21:35:14.138Z,contractor@navjoyinc.com,2021-03-01T21:35:14.138Z,,,,,,,,,,,,,,,,
113,ConstructionWorkZone-3a30f819-594c-4ec6-a990-afe407c79757,603d4a268b7430fa828c092c,contractor@navjoyinc.com,2021-03-01T20:20:06.640Z,contractor@navjoyinc.com,2021-03-01T20:20:06.640Z,,,,,,,,,,,,,,,,
114,ConstructionWorkZone-50e7e2ae-715f-416d-8a52-512ece2c689e,603d4b498b7430fa828c0f3e,contractor@navjoyinc.com,2021-03-01T23:30:10.770Z,contractor@navjoyinc.com,2021-03-01T23:30:10.770Z,,,,,,,,,,,,,,,,
115,ConstructionWorkZone-eac499f2-5708-4666-8c1d-070209f52fb3,603d9c2e8b7430fa828df4cf,contractor@navjoyinc.com,2021-03-02T02:00:14.430Z,contractor@navjoyinc.com,2021-03-02T02:00:14.430Z,,,,,,,,,,,,,,,,
116,ConstructionWorkZone-8795eb72-dade-4567-98ba-5f451252aaba,603d9d518b7430fa828dfae0,contractor@navjoyinc.com,2021-03-02T02:05:05.533Z,contractor@navjoyinc.com,2021-03-02T02:05:05.533Z,,,,,,,,,,,,,,,,
117,ConstructionWorkZone-513644d7-42fe-45af-86b0-1b590899bbd0,603d9e7e8b7430fa828e0127,contractor@navjoyinc.com,2021-03-02T02:15:07.821Z,contractor@navjoyinc.com,2021-03-02T02:15:07.821Z,,,,,,,,,,,,,,,,
118,ConstructionWorkZone-f8ba1590-5327-4d13-9cc1-5a0be4c24716,603da0d88b7430fa828e1143,contractor@navjoyinc.com,2021-03-02T02:30:11.067Z,contractor@navjoyinc.com,2021-03-02T02:30:11.067Z,,,,,,,,,,,,,,,,
119,ConstructionWorkZone-aeaa432b-2d2f-4b58-858c-8a2ac18bc73d,603da6ba8b7430fa828e3106,contractor@navjoyinc.com,2021-03-02T04:05:12.292Z,contractor@navjoyinc.com,2021-03-02T04:05:12.292Z,,,,,,,,,,,,,,,,
120,ConstructionWorkZone-5f3ac009-7fa2-431f-bf96-f67ed52d67e8,603da6ba8b7430fa828e315e,contractor@navjoyinc.com,2021-03-02T02:50:05.536Z,contractor@navjoyinc.com,2021-03-02T02:50:05.536Z,,,,,,,,,,,,,,,,
121,ConstructionWorkZone-6a15788a-cb95-41fc-9318-bf357aac79ab,603dac918b7430fa828e50f3,contractor@navjoyinc.com,2021-03-02T03:15:11.066Z,contractor@navjoyinc.com,2021-03-02T03:15:11.066Z,,,,,,,,,,,,,,,,
122,ConstructionWorkZone-c1e4792c-eb13-4561-88ff-aba827d0f0e9,603db0198b7430fa828e75ad,contractor@navjoyinc.com,2021-03-02T03:45:07.765Z,contractor@navjoyinc.com,2021-03-02T03:45:07.765Z,,,,,,,,,,,,,,,,
123,ConstructionWorkZone-b97e9c8f-e665-4fd6-b05f-fbf97d4bb366,603db0198b7430fa828e75f5,contractor@navjoyinc.com,2021-03-02T03:35:05.565Z,contractor@navjoyinc.com,2021-03-02T03:35:05.565Z,,,,,,,,,,,,,,,,
124,ConstructionWorkZone-fa97d17b-42af-47f9-b1fd-195cc79cb94a,603dc2d78b7430fa828f0c96,contractor@navjoyinc.com,2021-03-02T05:00:05.546Z,contractor@navjoyinc.com,2021-03-02T05:00:05.546Z,,,,,,,,,,,,,,,,
125,ConstructionWorkZone-6f80b14b-f4cf-4439-9180-c66ea7efd802,603dc9dd8b7430fa828f9240,contractor@navjoyinc.com,2021-03-02T05:15:09.182Z,contractor@navjoyinc.com,2021-03-02T05:15:09.182Z,,,,,,,,,,,,,,,,
126,ConstructionWorkZone-97f4b1b4-4987-4548-814d-002323858a5d,60881c1554c9da003a1f66e3,nnageli@navjoyinc.com.demo,2021-04-27T14:13:41.390Z,nnageli@navjoyinc.com.demo,2021-05-26T16:44:16.104Z,Lane Expansion,Chambers Road,Brighton Blvd,I-70,,,,,,Active,,,,,,
127,ConstructionWorkZone-60120aa1-8fba-4245-a3ef-65d508f648d2,5c1d0ade99bddb00565a0c8f,nnageli@navjoyinc.com.cdotgov,2018-12-21T15:46:38.086Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T14:56:56.217Z,Bridge,,,I-25,58.08,59.01,"(Sunday, May 26, 2019 - Saturday, June 1, 2019) : Delays Possible,Detour in Place,Speeds Reduced,Temporary Signals Used,Traffic Shift,Width Restrictions: 12 Ft.",12-16-2018 02:00,10-31-2019 02:00,Planned,12-21-2018 09:00,,"name : I-25 and Butte Creek, description :  Bridge Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined64a0c8aa-f3d1-4a55-9b6c-50aea4fcd10aPermit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined64a0c8aa-f3d1-4a55-9b6c-50aea4fcd10aPermit%20Document%20for%20Work%20Zones.docx,I-25 and Butte Creek / Bridge Construction Permit
128,ConstructionWorkZone-38b51f57-86c6-4484-a80b-2efe8c351a78,5c2cd5dc1664640041e7b1dd,nnageli@navjoyinc.com.cdotgov,2019-01-02T15:16:44.877Z,lsangappa@navjoyinc.com,2019-06-10T14:05:29.008Z,Lane Expansion,SH-105,Crystal Valley Pkwy,I-25,179,161,"Drivers should expect slower speed limits (65 mph), narrower lanes, increased volume, nighttime lane closures, and construction trucks entering and exiting the interstate throughout the corridor.",09-01-2018 02:00,12-31-2021 02:00,Active,09-01-2018 02:00,,"name : I-25 NB/SB Gap, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined91772a3b-eda7-460d-822c-cd6a8e540abei-25-south-gap-brochure.pdf,I-25 South Gap Project Brochure / I-25 South Gap Project Monument-Castle Rock Brochure
128,ConstructionWorkZone-38b51f57-86c6-4484-a80b-2efe8c351a78,5c2cd5dc1664640041e7b1dd,nnageli@navjoyinc.com.cdotgov,2019-01-02T15:16:44.877Z,lsangappa@navjoyinc.com,2019-06-10T14:05:29.008Z,Lane Expansion,SH-105,Crystal Valley Pkwy,I-25,179,161,"Drivers should expect slower speed limits (65 mph), narrower lanes, increased volume, nighttime lane closures, and construction trucks entering and exiting the interstate throughout the corridor.",09-01-2018 02:00,12-31-2021 02:00,Active,09-01-2018 02:00,,"name : I-25 NB/SB Gap, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedc123a93c-38b2-4bf5-9808-8ae441222daaEmergency%20Contacts_as%20of%202019.02.21.pdf,I-25 Gap Project / Emergency Contacts
128,ConstructionWorkZone-38b51f57-86c6-4484-a80b-2efe8c351a78,5c2cd5dc1664640041e7b1dd,nnageli@navjoyinc.com.cdotgov,2019-01-02T15:16:44.877Z,lsangappa@navjoyinc.com,2019-06-10T14:05:29.008Z,Lane Expansion,SH-105,Crystal Valley Pkwy,I-25,179,161,"Drivers should expect slower speed limits (65 mph), narrower lanes, increased volume, nighttime lane closures, and construction trucks entering and exiting the interstate throughout the corridor.",09-01-2018 02:00,12-31-2021 02:00,Active,09-01-2018 02:00,,"name : I-25 NB/SB Gap, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedced878ff-286f-49a5-97b8-80af1ae5d552I-25%20Project%20Operations%20Center%20Guidelines%20Final%20%282%29.pdf,I-25 Gap Project / Project Operations Center Guidelines
128,ConstructionWorkZone-38b51f57-86c6-4484-a80b-2efe8c351a78,5c2cd5dc1664640041e7b1dd,nnageli@navjoyinc.com.cdotgov,2019-01-02T15:16:44.877Z,lsangappa@navjoyinc.com,2019-06-10T14:05:29.008Z,Lane Expansion,SH-105,Crystal Valley Pkwy,I-25,179,161,"Drivers should expect slower speed limits (65 mph), narrower lanes, increased volume, nighttime lane closures, and construction trucks entering and exiting the interstate throughout the corridor.",09-01-2018 02:00,12-31-2021 02:00,Active,09-01-2018 02:00,,"name : I-25 NB/SB Gap, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents%2FCDOT+Gov%2Fdocuments%2Fundefined8ecdec92-7a58-464a-b6b9-8696d35915b6Organizational+Chart_CDOT+KNA+Discipline_as+of+2019.05.10.pdf,I-25 Gap Project / Owner/Contractor Org Chart
128,ConstructionWorkZone-38b51f57-86c6-4484-a80b-2efe8c351a78,5c2cd5dc1664640041e7b1dd,nnageli@navjoyinc.com.cdotgov,2019-01-02T15:16:44.877Z,lsangappa@navjoyinc.com,2019-06-10T14:05:29.008Z,Lane Expansion,SH-105,Crystal Valley Pkwy,I-25,179,161,"Drivers should expect slower speed limits (65 mph), narrower lanes, increased volume, nighttime lane closures, and construction trucks entering and exiting the interstate throughout the corridor.",09-01-2018 02:00,12-31-2021 02:00,Active,09-01-2018 02:00,,"name : I-25 NB/SB Gap, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined0ef5a89c-3db3-4dd2-9320-87e4b11b739fOrganizational%20Chart_CDOT%20Only_as%20of%202019.05.17.pdf,I-25 Gap Project / Project Organizational Chart
128,ConstructionWorkZone-38b51f57-86c6-4484-a80b-2efe8c351a78,5c2cd5dc1664640041e7b1dd,nnageli@navjoyinc.com.cdotgov,2019-01-02T15:16:44.877Z,lsangappa@navjoyinc.com,2019-06-10T14:05:29.008Z,Lane Expansion,SH-105,Crystal Valley Pkwy,I-25,179,161,"Drivers should expect slower speed limits (65 mph), narrower lanes, increased volume, nighttime lane closures, and construction trucks entering and exiting the interstate throughout the corridor.",09-01-2018 02:00,12-31-2021 02:00,Active,09-01-2018 02:00,,"name : I-25 NB/SB Gap, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedf17e6872-a674-4b3a-ae34-6e6adb8789c2Permit%20Document%20for%20Work%20Zones.docx,I-25 NB/SB Gap / Road Construction Permit
129,ConstructionWorkZone-a92acee7-aed6-4d53-9d69-7ddaf57dc530,5cafa13427f3ca004bf30d29,sschmidtlein@navjoyinc.com.cdotgov,2019-04-11T20:19:00.913Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:20:59.739Z,Road,Lincoln St,I-225,US 40,298.11,306.32,"(Sunday, April 7, 2019 - Saturday, April 13, 2019) : Trucks Entering and Exiting Work Zone",04-07-2019 02:00,05-31-2020 02:00,Active,04-07-2019 02:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined050b71fe-e7fe-4fc2-bf5a-766201fac5ccPermit%20Document%20for%20Work%20Zones.docx,US 40 EB/WB Colfax Ave / Road Construction Permit
130,ConstructionWorkZone-3f81d125-e0cc-45ea-945e-94d6a0085d0b,5cb49d8127f3ca004bf30e6f,sschmidtlein@navjoyinc.com.cdotgov,2019-04-15T15:04:33.222Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:50:31.840Z,Traffic Signal Installation,McCaslin Blvd,Interlocken Blvd,US 128,3.94,7.66,"(Sunday, May 26, 2019 - Saturday, June 1, 2019) : Flagger Operations",04-15-2019 11:00,07-31-2019 02:00,Active,04-15-2019 11:00,,"name : CO 128 NB/SB along US 287, description :  Traffic Signal Installation Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined6ad4647a-248a-46a1-95e6-7f15728c648fPermit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined6ad4647a-248a-46a1-95e6-7f15728c648fPermit%20Document%20for%20Work%20Zones.docx,CO 128 NB/SB along US 287 / Traffic Signal Installation Permit
131,ConstructionWorkZone-042ea35d-1719-4358-80f6-ee9e0de92de2,5e71eeb264c725003ab2037b,avishwanath@navjoyinc.com,2020-03-18T09:49:38.338Z,avishwanath@navjoyinc.com,2020-03-18T09:49:38.338Z,Other,Test Street From,Test Street To,,,,,,,Completed,,,"name : testInlineDoc 001, description :  , url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents//documents/ConstructionWorkZonec7869b89-0b94-4911-a53a-6e1c61d1ba5eScreenshot%202019-12-13%20at%205.01.19%20PM.png",,,
132,ConstructionWorkZone-42e59cf9-ffde-4493-b32c-9a22c001f569,5f7cd081f7e63200391a8678,patrick.chavez@cdot.com,2020-10-06T20:16:01.172Z,patrick.chavez@cdot.com,2020-10-06T20:19:09.660Z,Lane Expansion,E 470,Erie Pkwy,025A,231.7,233.5,Daily Lane Closures,10-01-2020 16:14,01-29-2021 16:14,Active,10-01-2020 16:18,,,,,
133,ConstructionWorkZone-c3e048b0-4dcf-479c-a830-a61457def6ee,5fcc8799cbfe75003b5c0e59,admin@web.com,2020-12-06T07:26:17.169Z,approver1@web.com,2020-12-14T10:27:48.926Z,Traffic Signal Installation,,,123,,,,12-14-2020 05:27,12-14-2020 05:27,Active,,,,,,
134,ConstructionWorkZone-f9604ed9-dbdd-474f-aeb5-02ca14fceec4,600861cbc792520039c46633,tleiss@paturnpike.com,2021-01-20T17:00:59.613Z,tleiss@paturnpike.com,2021-01-20T17:00:59.613Z,Bridge,Front St,Woodmont Rd,I-76,23.5,24.3,One Lane Closure,01-18-2021 11:55,01-29-2021 11:55,Active,01-18-2021 11:59,,"name : Work Zone Permit, description :  Permit for bridge work, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/PennTIME/Files/ace9e6c3-60cc-43e1-90dc-437899b9ff63Work%20Zone%20Permit",524-5246243,,
135,ConstructionWorkZone-3cb5f924-c107-48d2-a3b2-2d46ba9883e8,603c7d168b7430fa827f9349,contractor@navjoyinc.com,2021-03-01T17:15:13.494Z,contractor@navjoyinc.com,2021-03-01T17:15:13.494Z,,,,,,,,,,,,,,,,
136,ConstructionWorkZone-152a3e92-4be7-4b29-9dd2-0b7015ad921c,603c7d168b7430fa827f9362,contractor@navjoyinc.com,2021-03-01T13:35:12.467Z,contractor@navjoyinc.com,2021-03-01T13:35:12.467Z,,,,,,,,,,,,,,,,
137,ConstructionWorkZone-e5b4daf8-3246-46d5-a32a-096c53915f0d,603c7d168b7430fa827f9369,contractor@navjoyinc.com,2021-03-01T11:10:06.838Z,contractor@navjoyinc.com,2021-03-01T11:10:06.838Z,,,,,,,,,,,,,,,,
138,ConstructionWorkZone-97c94057-a500-4ff1-91bd-602457129266,603c7d168b7430fa827f936d,contractor@navjoyinc.com,2021-03-01T09:40:06.889Z,contractor@navjoyinc.com,2021-03-01T09:40:06.889Z,,,,,,,,,,,,,,,,
139,ConstructionWorkZone-7665b32f-8e75-485e-8f3e-20468cc7b44f,603c7d168b7430fa827f9373,contractor@navjoyinc.com,2021-03-01T21:35:14.138Z,contractor@navjoyinc.com,2021-03-01T21:35:14.138Z,,,,,,,,,,,,,,,,
140,ConstructionWorkZone-3e9617f1-c897-4a32-a096-03b1ff607271,603c7d168b7430fa827f9376,contractor@navjoyinc.com,2021-03-01T10:55:13.422Z,contractor@navjoyinc.com,2021-03-01T10:55:13.422Z,,,,,,,,,,,,,,,,
141,ConstructionWorkZone-01710bb4-1701-4827-b18a-921eb6e92ce8,603c7d168b7430fa827f9379,contractor@navjoyinc.com,2021-03-01T06:20:12.348Z,contractor@navjoyinc.com,2021-03-01T06:20:12.348Z,,,,,,,,,,,,,,,,
142,ConstructionWorkZone-ad6a0a49-92f0-4f0a-a77b-c59073e33e27,603c7d168b7430fa827f937d,contractor@navjoyinc.com,2021-03-01T08:10:07.153Z,contractor@navjoyinc.com,2021-03-01T08:10:07.153Z,,,,,,,,,,,,,,,,
143,ConstructionWorkZone-0714716c-20d5-4af3-a3f6-8d713f0f3fbe,603c7d168b7430fa827f9388,contractor@navjoyinc.com,2021-03-01T05:45:14.693Z,contractor@navjoyinc.com,2021-03-01T05:45:14.693Z,,,,,,,,,,,,,,,,
144,ConstructionWorkZone-23a716d6-f11a-462a-ae0d-0417fdd2e3c7,603c808d8b7430fa82802913,contractor@navjoyinc.com,2021-03-01T17:15:13.496Z,contractor@navjoyinc.com,2021-03-01T17:15:13.496Z,,,,,,,,,,,,,,,,
145,ConstructionWorkZone-51087a3a-760c-4501-9364-069568084007,603ca0318b7430fa8283f392,contractor@navjoyinc.com,2021-03-01T08:05:05.923Z,contractor@navjoyinc.com,2021-03-01T08:05:05.923Z,,,,,,,,,,,,,,,,
146,ConstructionWorkZone-a381b66d-f871-4601-b80e-289d5a7c60b1,603ca28c8b7430fa82842ff2,contractor@navjoyinc.com,2021-03-01T19:40:07.309Z,contractor@navjoyinc.com,2021-03-01T19:40:07.309Z,,,,,,,,,,,,,,,,
147,ConstructionWorkZone-5b64645e-0b1f-4642-9a8f-f844dedf7b58,603ca28c8b7430fa82843009,contractor@navjoyinc.com,2021-03-01T08:15:08.106Z,contractor@navjoyinc.com,2021-03-01T08:15:08.106Z,,,,,,,,,,,,,,,,
148,ConstructionWorkZone-f9d3d956-ce5f-484b-9465-c69a2c65d74e,603ca3b98b7430fa82844e3c,contractor@navjoyinc.com,2021-03-01T08:20:09.289Z,contractor@navjoyinc.com,2021-03-01T08:20:09.289Z,,,,,,,,,,,,,,,,
149,ConstructionWorkZone-f7409ed6-981b-4cb0-9117-865a137b6afe,603ca4e68b7430fa82846172,contractor@navjoyinc.com,2021-03-01T08:25:10.121Z,contractor@navjoyinc.com,2021-03-01T08:25:10.121Z,,,,,,,,,,,,,,,,
150,ConstructionWorkZone-0e08de76-dc62-4803-a7a6-6ca1dececd56,603ca6138b7430fa82846fc1,contractor@navjoyinc.com,2021-03-01T08:35:12.403Z,contractor@navjoyinc.com,2021-03-01T08:35:12.403Z,,,,,,,,,,,,,,,,
151,ConstructionWorkZone-b651db48-bb9f-4768-a186-63e4c2c06309,603cae458b7430fa8284b0a8,contractor@navjoyinc.com,2021-03-01T20:40:11.190Z,contractor@navjoyinc.com,2021-03-01T20:40:11.190Z,,,,,,,,,,,,,,,,
152,ConstructionWorkZone-2dd28a87-a92d-42d4-97ea-2d4578199374,603cb7a48b7430fa82855533,contractor@navjoyinc.com,2021-03-01T12:15:12.858Z,contractor@navjoyinc.com,2021-03-01T12:15:12.858Z,,,,,,,,,,,,,,,,
153,ConstructionWorkZone-202e1628-ed97-4c10-aca3-032774daa4f8,603cca628b7430fa82868b1e,contractor@navjoyinc.com,2021-03-01T22:45:10.325Z,contractor@navjoyinc.com,2021-03-01T22:45:10.325Z,,,,,,,,,,,,,,,,
154,ConstructionWorkZone-f12e8e22-cfa3-48e7-8407-f767c05c974b,603cccbc8b7430fa8286a55c,contractor@navjoyinc.com,2021-03-01T22:35:08.067Z,contractor@navjoyinc.com,2021-03-01T22:35:08.067Z,,,,,,,,,,,,,,,,
